Tweet Text,# number,Medical relevance,X,Does X cause cancer 
"What is Shisha? It is simply flavoured tobacco that is usually smoked through a water pipe. Like cigarettes &amp; other tobacco products, it is the leading cause of cancer. It is not true that smoking shisha is safer than smoking cigarettes. Here are some of the key things to note👇 https://t.co/ytgRhN5JF8 I suffered from lungs infection for a while..was so scared for my life..doctors asked if I smoke and I said no..just realizing it was shisha https://t.co/qFE11DGAsW",1074,yes,shisha,yes
For those who still preache/believe that paraben is super harmful and can cause cancer etc. Taken from Lush UK’s website. https://t.co/mDWYTYh9hY,250,yes,paraben,no
"Trump and Pruitt knew military personnel and veterans were being harmed by their drinking water.   They waited six months to tell them.   https://t.co/5IQkJ7u2k2 Flint still doesn’t have clean water and apparently, neither does much of our military.   Ground water in and around bases is contaminated with chemicals that cause cancer, thyroid problems and threaten fetal health...And Trump &amp; Klan tried to cover it up. https://t.co/CSTVXlTDuG",243,yes,Contaminated ground water,yes
"@ewg No. 2: Spinach   According to @EWG, pesticides can pose some serious health risks: They’re linked to brain and nervous system damage, cancer and hormone disruption. https://t.co/Q0JCfU0Ns6 So if we eat meat we die and if we turn vegans the fucking pesticides can fuck up our brains and cause nervous system damage?? Y’all annoying https://t.co/5zGEjGoz4M",219,yes,pesticides,yes
"We’ve reached over $16,000 for @MaryBirdPerkins !! Help me shoot for more!!! Donate for a great cause and help many more ring that bell❤️ #KEEPFIGHTING #SCREWCANCER https://t.co/q14jpnvaMf https://t.co/9mmbo1kpEL",213,no,none,none
"My face when I see how much money we’ve raised to find a cure for cancer!! I have some awesome fans that I really appreciate for supporting me! We’ve raised $17,155 and the new goal is now $20,000.. keep supporting s great cause https://t.co/q14jpnvaMf https://t.co/k56Nryd2CX",188,no,none,none
"In other news net neutrality, repealing pre existing conditions, gag rule, school safety committee not looking at gun violence, Pence doesn’t believe cigarettes cause cancer and Scott Pruitt is blowing through money faster than Kudlow does on cocaine.",150,yes,cigarettes,no
"Paraben is not inherently bad, same as fragrance and alcohol. Like everything, it all depends on your skin's tolerance. Just know your skin. If it can't tolerate, avoid. Otherwise, it's ok to use. https://t.co/aYx30DV4GT For those who still preache/believe that paraben is super harmful and can cause cancer etc. Taken from Lush UK’s website. https://t.co/mDWYTYh9hY",132,yes,paraben,no
"Aluminum is poisonous to our body and consumption of food in aluminum dishes and causes harmful diseases such as cancer, etc. By #HealthAwarenessCampaign, @derasachasauda educated the people about its harmful effects so that everyone could save the diseases due to it..!",130,yes,aluminium,yes
✖️Masturbation can affect future marriage ✖️IUDs can cause spontaneous abortions  ✖️Abortion can cause cancer &amp; infertility  These lies are all things fake women’s health centers have told students when teaching abstinence-only #sexed: https://t.co/Ruy9q6haL8 #EndTheLies Let’s state it again for the record...  ✅Masturbation (and pornography addiction) can indeed affect one’s marriage ✅IUDs have caused countless spontaneous abortions ✅Abortion definitely can cause cancer &amp; infertility  Abortion clinics should #EndtheLies that they tell women. https://t.co/J0wwbgWUUK,120,yes,abortion,yes
RT @theNCI: What is overdiagnosis? This refers to the detection of cancers that would never cause harm: https://t.co/tEJ7I54a1z https://t.c…,114,no,none,none
Wait wait wait wait wait. So people are mad at XXX Tentacion.. cause he beat up a gay person.. cause that gay person was eyeing him and he was a RAPIST.. and pride twitter is still supporting that gay man? Only cause he’s gay????!!!! Na this app is cancer fr,112,no,none,none
RT @DrFrankLipman: Did you know prescription drugs are the third leading cause of death after heart disease and cancer? https://t.co/a6bcMg…,111,yes,prescription drugs,yes
aries: impulsive hoe taurus: hardheaded hoe gemini: distracted hoe cancer: crybaby hoe leo: attention hoe virgo: helpful hoe libra: ppl pleasing hoe scorpio: hoe hoe sag: wise but stupid hoe cap: wud sell u to satan for a cornchip hoe aqua: rebel w/o cause hoe pisces:escapist hoe,104,no,none,none
Bloat in dogs is considered the second cause of death in dogs after cancer. So it is essential to know the symptoms and the possible ways to reduce your dog's risk. Read on! https://t.co/0EIJAw5Nbd #dogstories,102,yes,bloat,yes(dog)
RT @HealthRanger: The true cause and cure for cancer - must watch: https://t.co/m9squFKL4j #cancer #health,92,no,none,none
I create all of my Candles in home in my kitchen. I use all natural Coconut Wax and Essential Oils and Wooden Wicks🔑. I decided to use these products because these ingredients done cause or create Cancer like Sou Wax and Cotten Wicks. Read more at 😌 https://t.co/IvhiQGgckA https://t.co/Ld4HYhqg4b,92,yes,natural Coconut Wax and Essential Oils and Wooden Wicks,no
"Heretofore, there’s been no First Amendment impediment to a state seeking to protect its citizens by requiring accurate labeling and notices (e.g. “cigarettes cause cancer”). As @ugarles pointed out, the difference in this case is the five Republican Justices support the scam.",89,yes,cigarrete,yes
If you want to just come hangout or take pictures and get things signed it’ll be $20 to get in✊🏾 let’s have a great time and help a great cause 🎳  https://t.co/q14jpnvaMf https://t.co/m3N284ksyu,89,no,none,none
Two years ago I was a victim of medical error - the THIRD leading cause of death in the U.S.  Today I have cancer. And chronic pain.  But @POTUS @realDonaldTrump has made me a FIGHTER!  RT to raise awareness for this Forgotten American crisis.  #MAGA! 🇺🇸 https://t.co/tgIp2D6h6e,86,no,none,none
1) Beware exaggeration and overstated headlines. The papers say after #CRISPR Cas9 DSB P53 signaling is activated. They don't say #CRISPR could cause #cancer 2) One of the paper was posted a year ago on BioRxiv #preprint server -&gt; not a new finding https://t.co/6HeNFukU7b,84,no,none,none
RT @theNCI: Some viruses and other infectious agents can cause cancer in infected people. Here's a list: https://t.co/x9VH2XOnUZ https://t.…,83,yes,viruses,yes
"Processed meats - including ham and bacon - have cause cancer, according to a much-anticipated report by the World Health Organisation.  #GoVeganAndBeHealthy https://t.co/i6zS62wXDO",76,yes,processed meats,yes
"My brother told to take Tylenol after prostate cancer surgery.  We are ALL in trouble. First they came for the sick &amp; disabled... Please retweet!!! https://t.co/3LRCUdF3Tp Hospitals are in crisis, yet the Keebler elf, politicians, and DEA continue to hinder opioid availability.  Yo assholes - ppl are dying here.   If you want to fix the problem, go after the REAL cause of death &amp; ODs  Non-pharmaceutical, ILLICIT fentanyl analogs coming in thru USPS https://t.co/CYMbURSiqZ",74,no,none,none
"Vegetable oils cause cancer, heart disease, diabetes and more: Use these healthy alternatives instead. https://t.co/0L0gt3DQ0X #cancer #health #foodfreedom",71,yes,vegetable oils,yes
"No electronics in the bedroom: Any device closer than arm’s length can cause cancer, infertility, and other health concerns, health officials warn. https://t.co/j5riEXdu4V #cancer #health #EMF",67,yes,electronic device,yes
"Excited to bring awareness and raise funds for something that is very special to me, @MaryBirdPerkins Center! Thanks to @Pansy_Landry . Donate to a great cause and win some fun prizes. This ends Wednesday and I will match all donations up to $1,000!  https://t.co/vwi6DU4tEU",66,no,none,none
@ShumDarioNews Can you help us we wanted to say thank you to cast of lucifer but for a https://t.co/pYBXDzc9H6 good cause to help those with cancer,65,no,none,none
