Tweet Text,# number,Medical relevance,X,Does X prevent cancer 
"Wear Sunscreen!!! Protecting yourself from sun damage will make you feel better now (how much fun could a sunburn really be?) and later on. Wear at least SPF 15 every day to help prevent skin cancer, wrinkles, and sunburn. Oh, and don't even think about going to the tanning bed.",328,yes,sunscreen SPF15,yes
"Garlic has sulfur compounds such as allicin which may help prevent infections by blocking specific enzymes. There is research that links garlic intake to a decreased risk of cancer, specifically stomach, colon and esophagus. #diet #nutrition #food #Health #cancer #diet https://t.co/hGJ7wlQ8g6",162,yes,garlic,yes
There are a lot of misconceptions about sunscreen and whether or not dark-skinned people need to wear it to prevent skin cancer. This NPR piece does a POOR job presenting the actual evidence. I think a TWEETORIAL is in order. https://t.co/CTMdNNPdgd,135,no,none,none
"Vegetarian diets naturally low in saturated fat,high in fiber and help to prevent cancer! Large studies in England and Germany have shown that vegetarians are about 40 percent less likely to develop cancer compared to meat-eaters! #GoVeganAndBeHealthy @FARMUSA https://t.co/r2qz8Raeu5",133,yes,vegeterian diets,yes
A common drug used to control blood pressure and help prevent heart failure is being recalled in 22 countries because it contains a chemical that poses a potential cancer risk https://t.co/JLVFSKihMo https://t.co/QsgUCfpfQR,117,yes,none,none
"Loading up on my anthocyanins today— antioxidants found in blue and purple plant foods known to improve cardiovascular health, prevent cancer, and dementia. What’s your favorite blue or purple fruit/vegetable? https://t.co/hh2eCzSKkd",97,yes,blue or purple fruits/vegetables,yes
"Vegetarian diets—naturally low in saturated fat, high in fiber, and replete with cancer-protective phytochemicals—help to prevent cancer. ...#GoVeganAndBeHealthy https://t.co/uKfhgWy7LJ",77,yes,vegeterian diets,yes
"Vegetarian diets—naturally low in saturated fat, high in fiber, and replete with cancer-protective phytochemicals—help to prevent cancer. ...#GoVeganAndBeHealthy https://t.co/NeLqisa3e1",71,yes,vegeterian diets,yes
"Vegetarian diets naturally low in saturated fat,high in fiber and help to prevent cancer! Large studies in England and Germany have shown that vegetarians are about 40 percent less likely to develop cancer compared to meat-eaters! #GoVeganAndBeHealthy",62,yes,vegeterian diets,yes
"Cervical screening aims to find and treat abnormal cell changes, which can prevent cervical cancer before it's even had chance to develop: https://t.co/HrDrYIFq80 #CervicalScreeningAwarenessWeek https://t.co/CkrQVPHemY",61,yes,cervical screening,yes
A common drug used to control blood pressure and help prevent heart failure is being recalled in 22 countries because it contains a chemical that poses a potential cancer risk https://t.co/LXpuGuJWJd https://t.co/XoXYasLdCy,55,yes,none,none
